Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink15:10:56.303000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
15:13:06.910000 Conn: 0001 Handle: 0001  Values: d700000000000000000000000000000000007e00
15:13:07.010000 Conn: 0000 Handle: 0001  Values: d900000000000000000000000000000000007f00
15:13:07.910000 Conn: 0001 Handle: 0002  Values: d700000000000000000000000000000000001a00
15:13:08.004000 Conn: 0000 Handle: 0002  Values: d900000000000000000000000000000000001a00
15:13:08.199000  SCAN CMD
15:13:08.916000 Conn: 0001 Handle: 0001  Values: d900000000000000000000000000000000007f00
15:13:09.006000 Conn: 0000 Handle: 0003  Values: d900000000000000000000000000000000004000
15:13:09.917000 Conn: 0001 Handle: 0003  Values: d900000000000000000000000000000000004000
15:13:10.003000 Conn: 0000 Handle: 0005  Values: da00000000000000000000000000000000000a00
15:13:10.912000 Conn: 0001 Handle: 0001  Values: da00000000000000000000000000000000008000
15:13:11.007000 Conn: 0000 Handle: 0001  Values: da00000000000000000000000000000000008000
15:13:11.909000 Conn: 0001 Handle: 0001  Values: dd00000000000000000000000000000000008200
15:13:12.009000 Conn: 0000 Handle: 0001  Values: dc00000000000000000000000000000000008100
15:13:12.917000 Conn: 0001 Handle: 0003  Values: dd00000000000000000000000000000000004100
15:13:13.012000 Conn: 0000 Handle: 0001  Values: dd00000000000000000000000000000000008200
15:13:13.914000 Conn: 0001 Handle: 0001  Values: e100000000000000000000000000000000008400
15:13:14.012000 Conn: 0000 Handle: 0001  Values: e100000000000000000000000000000000008400
15:13:14.908000 Conn: 0001 Handle: 0002  Values: e100000000000000000000000000000000001b00
15:13:15.015000 Conn: 0000 Handle: 0002  Values: e100000000000000000000000000000000001b00
15:13:15.910000 Conn: 0001 Handle: 0001  Values: e400000000000000000000000000000000008600
15:13:16.006000 Conn: 0000 Handle: 0001  Values: e600000000000000000000000000000000008700
