Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink17:03:23.560000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
17:04:52.140000 Conn: 0000 Handle: 0001  Values: 8f00000000000000000000000000000000005400
17:04:52.841000 Conn: 0001 Handle: 0001  Values: 8f00000000000000000000000000000000005400
17:04:53.138000 Conn: 0000 Handle: 0003  Values: 8f00000000000000000000000000000000002a00
17:04:53.848000 Conn: 0001 Handle: 0003  Values: 8f00000000000000000000000000000000002a00
17:04:54.137000 Conn: 0000 Handle: 0005  Values: 9100000000000000000000000000000000000a00
17:04:54.843000 Conn: 0001 Handle: 0001  Values: 9300000000000000000000000000000000005600
17:04:55.138000 Conn: 0000 Handle: 0001  Values: 9100000000000000000000000000000000005500
17:04:55.840000 Conn: 0001 Handle: 0002  Values: 9300000000000000000000000000000000001200
17:04:55.918000  SCAN CMD
17:04:56.143000 Conn: 0000 Handle: 0001  Values: 9500000000000000000000000000000000005700
17:04:56.843000 Conn: 0001 Handle: 0001  Values: 9600000000000000000000000000000000005800
17:04:57.143000 Conn: 0000 Handle: 0002  Values: 9500000000000000000000000000000000001200
17:04:57.848000 Conn: 0001 Handle: 0003  Values: 9600000000000000000000000000000000002c00
17:04:58.140000 Conn: 0000 Handle: 0001  Values: 9800000000000000000000000000000000005900
17:04:58.846000 Conn: 0001 Handle: 0001  Values: 9900000000000000000000000000000000005a00
17:04:59.134000 Conn: 0000 Handle: 0003  Values: 9800000000000000000000000000000000002d00
17:04:59.840000 Conn: 0001 Handle: 0003  Values: 9900000000000000000000000000000000002d00
17:05:00.136000 Conn: 0000 Handle: 0001  Values: 9c00000000000000000000000000000000005b00
17:05:00.842000 Conn: 0001 Handle: 0001  Values: 9d00000000000000000000000000000000005c00
17:05:01.140000 Conn: 0000 Handle: 0002  Values: 9c00000000000000000000000000000000001300
17:05:01.846000 Conn: 0001 Handle: 0002  Values: 9d00000000000000000000000000000000001300
17:05:02.143000 Conn: 0000 Handle: 0001  Values: a000000000000000000000000000000000005e00
17:05:02.847000 Conn: 0001 Handle: 0001  Values: a000000000000000000000000000000000005e00
17:05:03.135000 Conn: 0000 Handle: 0003  Values: a000000000000000000000000000000000002f00
17:05:03.842000 Conn: 0001 Handle: 0003  Values: a000000000000000000000000000000000002f00
17:05:04.139000 Conn: 0000 Handle: 0005  Values: a200000000000000000000000000000000000a00
17:05:04.846000 Conn: 0001 Handle: 0001  Values: a400000000000000000000000000000000006000
17:05:05.135000 Conn: 0000 Handle: 0001  Values: a200000000000000000000000000000000005f00
17:05:05.849000 Conn: 0001 Handle: 0002  Values: a400000000000000000000000000000000001400
17:05:05.944000  SCAN CMD
17:05:06.135000 Conn: 0000 Handle: 0001  Values: a600000000000000000000000000000000006100
17:05:06.843000 Conn: 0001 Handle: 0001  Values: a700000000000000000000000000000000006200
17:05:07.138000 Conn: 0000 Handle: 0002  Values: a600000000000000000000000000000000001400
17:05:07.840000 Conn: 0001 Handle: 0003  Values: a700000000000000000000000000000000003100
17:05:08.142000 Conn: 0000 Handle: 0001  Values: a900000000000000000000000000000000006300
17:05:08.840000 Conn: 0001 Handle: 0001  Values: aa00000000000000000000000000000000006400
17:05:09.137000 Conn: 0000 Handle: 0003  Values: a900000000000000000000000000000000003200
17:05:09.843000 Conn: 0001 Handle: 0003  Values: aa00000000000000000000000000000000003200
17:05:10.139000 Conn: 0000 Handle: 0001  Values: ad00000000000000000000000000000000006500
17:05:10.842000 Conn: 0001 Handle: 0001  Values: ae00000000000000000000000000000000006600
17:05:11.136000 Conn: 0000 Handle: 0002  Values: ad00000000000000000000000000000000001500
17:05:11.839000 Conn: 0001 Handle: 0002  Values: ae00000000000000000000000000000000001500
17:05:12.135000 Conn: 0000 Handle: 0001  Values: b100000000000000000000000000000000006800
17:05:12.844000 Conn: 0001 Handle: 0001  Values: b100000000000000000000000000000000006800
17:05:13.138000 Conn: 0000 Handle: 0003  Values: b100000000000000000000000000000000003400
17:05:13.844000 Conn: 0001 Handle: 0003  Values: b100000000000000000000000000000000003400
17:05:14.136000 Conn: 0000 Handle: 0005  Values: b300000000000000000000000000000000000a00
17:05:14.848000 Conn: 0001 Handle: 0001  Values: b500000000000000000000000000000000006a00
17:05:15.135000 Conn: 0000 Handle: 0001  Values: b300000000000000000000000000000000006900
17:05:15.848000 Conn: 0001 Handle: 0002  Values: b500000000000000000000000000000000001600
17:05:16.015000  SCAN CMD
17:05:16.135000 Conn: 0000 Handle: 0001  Values: b700000000000000000000000000000000006b00
17:05:16.845000 Conn: 0001 Handle: 0001  Values: b800000000000000000000000000000000006c00
17:05:17.135000 Conn: 0000 Handle: 0002  Values: b700000000000000000000000000000000001600
17:05:17.840000 Conn: 0001 Handle: 0003  Values: b800000000000000000000000000000000003600
17:05:18.136000 Conn: 0000 Handle: 0001  Values: ba00000000000000000000000000000000006d00
17:05:18.842000 Conn: 0001 Handle: 0001  Values: bb00000000000000000000000000000000006e00
17:05:19.136000 Conn: 0000 Handle: 0003  Values: ba00000000000000000000000000000000003700
17:05:19.841000 Conn: 0001 Handle: 0003  Values: bb00000000000000000000000000000000003700
17:05:20.134000 Conn: 0000 Handle: 0001  Values: be00000000000000000000000000000000006f00
17:05:20.841000 Conn: 0001 Handle: 0001  Values: bf00000000000000000000000000000000007000
17:05:21.136000 Conn: 0000 Handle: 0002  Values: be00000000000000000000000000000000001700
17:05:21.848000 Conn: 0001 Handle: 0002  Values: bf00000000000000000000000000000000001700
17:05:22.141000 Conn: 0000 Handle: 0001  Values: c200000000000000000000000000000000007200
17:05:22.848000 Conn: 0001 Handle: 0001  Values: c200000000000000000000000000000000007200
17:05:23.145000 Conn: 0000 Handle: 0003  Values: c200000000000000000000000000000000003900
17:05:23.841000 Conn: 0001 Handle: 0003  Values: c200000000000000000000000000000000003900
17:05:24.138000 Conn: 0000 Handle: 0005  Values: c400000000000000000000000000000000000a00
17:05:24.843000 Conn: 0001 Handle: 0001  Values: c600000000000000000000000000000000007400
17:05:25.136000 Conn: 0000 Handle: 0001  Values: c400000000000000000000000000000000007300
17:05:25.844000 Conn: 0001 Handle: 0002  Values: c600000000000000000000000000000000001800
17:05:26.042000  SCAN CMD
17:05:26.144000 Conn: 0000 Handle: 0001  Values: c800000000000000000000000000000000007500
17:05:26.846000 Conn: 0001 Handle: 0001  Values: c900000000000000000000000000000000007600
17:05:27.139000 Conn: 0000 Handle: 0002  Values: c800000000000000000000000000000000001800
17:05:27.844000 Conn: 0001 Handle: 0003  Values: c900000000000000000000000000000000003b00
17:05:28.139000 Conn: 0000 Handle: 0001  Values: cb00000000000000000000000000000000007700
